label,target,rf_probability,rf_prediction,if_score,if_prediction,hybrid_prediction,hybrid_decision
satan,1,1.0,1,-0.1302762390160529,1,1,ATTACK
mscan,1,0.405,1,-0.08532300620670019,0,1,ATTACK
normal,0,0.0,0,0.17832989897975693,0,0,NORMAL
buffer_overflow,1,0.265,0,0.08873327071383219,0,0,NORMAL
normal,0,0.0,0,0.1240104569822797,0,0,NORMAL
normal,0,0.0,0,0.10965176453209335,0,0,NORMAL
neptune,1,1.0,1,-0.10278799612543632,1,1,ATTACK
normal,0,0.0,0,0.1699767325442349,0,0,NORMAL
normal,0,0.0,0,0.1483317067721603,0,0,NORMAL
normal,0,0.0,0,0.16392368875133084,0,0,NORMAL
neptune,1,1.0,1,-0.06335473384331836,0,1,ATTACK
normal,0,0.0,0,0.17956609320320444,0,0,NORMAL
neptune,1,1.0,1,-0.09090925551652906,0,1,ATTACK
back,1,0.805,1,0.11497507053008593,0,1,ATTACK
mscan,1,0.77625,1,-0.11054917681726761,1,1,ATTACK
normal,0,0.19,0,0.07445549004265689,0,0,NORMAL
normal,0,0.0,0,0.1528010524047103,0,0,NORMAL
normal,0,0.0,0,0.16445088858265094,0,0,NORMAL
neptune,1,1.0,1,-0.06085591413992486,0,1,ATTACK
neptune,1,1.0,1,-0.07948280116996664,0,1,ATTACK
warezmaster,1,0.235,0,0.063554455030215,0,0,NORMAL
normal,0,0.0,0,0.17677722605919294,0,0,NORMAL
neptune,1,1.0,1,-0.06335473384331836,0,1,ATTACK
snmpgetattack,1,0.01,0,0.07523599218696125,0,0,NORMAL
processtable,1,0.16,0,0.029437402898438048,0,0,NORMAL
normal,0,0.0,0,0.18156550470976845,0,0,NORMAL
guess_passwd,1,0.05,0,0.1518877387453657,0,0,NORMAL
warezmaster,1,0.26,0,0.055544020097734015,0,0,NORMAL
normal,0,0.0,0,0.16583846910981703,0,0,NORMAL
normal,0,0.0,0,0.1775868037192177,0,0,NORMAL
satan,1,1.0,1,-0.13909051056210153,1,1,ATTACK
normal,0,0.0,0,0.17455762965515015,0,0,NORMAL
mscan,1,0.52,1,-0.10713734905334027,1,1,ATTACK
neptune,1,1.0,1,-0.07198193172804612,0,1,ATTACK
neptune,1,1.0,1,-0.09727806157098595,0,1,ATTACK
normal,0,0.0,0,0.17974818588255576,0,0,NORMAL
neptune,1,1.0,1,-0.07984248591086929,0,1,ATTACK
normal,0,0.15,0,0.12591269007678235,0,0,NORMAL
normal,0,0.0,0,0.17429801548892798,0,0,NORMAL
normal,0,0.0,0,0.17190993929147091,0,0,NORMAL
neptune,1,1.0,1,-0.06066621251099835,0,1,ATTACK
normal,0,0.0,0,0.1785688054693052,0,0,NORMAL
normal,0,0.0,0,0.17879557665908175,0,0,NORMAL
processtable,1,0.215,0,0.05616810666117844,0,0,NORMAL
normal,0,0.0,0,0.17382148267719094,0,0,NORMAL
normal,0,0.0,0,0.17346579956059305,0,0,NORMAL
neptune,1,1.0,1,-0.08799915719387885,0,1,ATTACK
neptune,1,1.0,1,-0.08070094629888869,0,1,ATTACK
pod,1,0.965,1,0.023980781653415217,0,1,ATTACK
normal,0,0.0,0,0.17016790647121816,0,0,NORMAL
normal,0,0.0,0,0.1765423280558328,0,0,NORMAL
normal,0,0.0,0,0.17120573079124374,0,0,NORMAL
neptune,1,0.935,1,-0.06068719797672972,0,1,ATTACK
mscan,1,0.43,1,-0.09442928594565325,0,1,ATTACK
normal,0,0.0,0,0.17959390064736075,0,0,NORMAL
normal,0,0.0,0,0.11809180928937141,0,0,NORMAL
normal,0,0.0,0,0.17109673069931663,0,0,NORMAL
normal,0,0.0,0,0.18145815551509287,0,0,NORMAL
neptune,1,1.0,1,-0.07640009509436729,0,1,ATTACK
httptunnel,1,0.2,0,-0.029161758036637786,0,0,NORMAL
guess_passwd,1,0.04,0,0.1545714478184292,0,0,NORMAL
normal,0,0.29,0,0.14366448903999857,0,0,NORMAL
normal,0,0.0,0,0.18045631263901457,0,0,NORMAL
normal,0,0.0,0,0.11133547039794561,0,0,NORMAL
nmap,1,0.975,1,-0.08352630329744859,0,1,ATTACK
neptune,1,1.0,1,-0.04907098031895318,0,1,ATTACK
satan,1,0.93,1,-0.1517769489650126,1,1,ATTACK
guess_passwd,1,0.095,0,0.08508880735577878,0,0,NORMAL
neptune,1,1.0,1,-0.08011190378290356,0,1,ATTACK
neptune,1,1.0,1,-0.07301362650987453,0,1,ATTACK
normal,0,0.0,0,0.14462677937439872,0,0,NORMAL
neptune,1,1.0,1,-0.08366930306531173,0,1,ATTACK
ps,1,0.295,0,0.07090743565102664,0,0,NORMAL
normal,0,0.0,0,0.17587949555208615,0,0,NORMAL
neptune,1,1.0,1,-0.07109866932128928,0,1,ATTACK
normal,0,0.0,0,0.17130121156042688,0,0,NORMAL
normal,0,0.0,0,0.16555878340324587,0,0,NORMAL
neptune,1,1.0,1,-0.08187174315657109,0,1,ATTACK
processtable,1,0.2,0,0.05670120067453055,0,0,NORMAL
processtable,1,0.225,0,0.053685261953430874,0,0,NORMAL
normal,0,0.0,0,0.1735694615779651,0,0,NORMAL
neptune,1,1.0,1,-0.10991797172358098,1,1,ATTACK
normal,0,0.0,0,0.17990122399471015,0,0,NORMAL
smurf,1,1.0,1,0.04572641729730342,0,1,ATTACK
neptune,1,1.0,1,-0.06465756618426455,0,1,ATTACK
snmpguess,1,0.215,0,0.09085455116015034,0,0,NORMAL
normal,0,0.0,0,0.1676310607294464,0,0,NORMAL
smurf,1,0.87,1,-0.002720358054291161,0,1,ATTACK
nmap,1,0.985,1,-0.07824637160862524,0,1,ATTACK
neptune,1,1.0,1,-0.07088463876976747,0,1,ATTACK
normal,0,0.04,0,0.05122718509188556,0,0,NORMAL
normal,0,0.0,0,0.11198333752185702,0,0,NORMAL
guess_passwd,1,0.135,0,0.12182546811885314,0,0,NORMAL
neptune,1,1.0,1,-0.08422173717127357,0,1,ATTACK
normal,0,0.0,0,0.1683820444283195,0,0,NORMAL
normal,0,0.0,0,0.10868289101552858,0,0,NORMAL
normal,0,0.0,0,0.1147106195387369,0,0,NORMAL
normal,0,0.0,0,0.13703357474327837,0,0,NORMAL
processtable,1,0.21,0,-0.03816796918051368,0,0,NORMAL
normal,0,0.0,0,0.17937932797458467,0,0,NORMAL
processtable,1,0.265,0,0.005017863070568285,0,0,NORMAL
normal,0,0.0,0,0.16424543055896335,0,0,NORMAL
neptune,1,1.0,1,-0.07933316516405753,0,1,ATTACK
snmpguess,1,0.1325,0,0.09205229555072081,0,0,NORMAL
mscan,1,0.395,0,-0.0758147674580879,0,0,NORMAL
normal,0,0.0,0,0.1809131043213812,0,0,NORMAL
normal,0,0.0,0,0.1680569170504953,0,0,NORMAL
normal,0,0.0,0,0.10904884329539999,0,0,NORMAL
neptune,1,1.0,1,-0.07555038896104194,0,1,ATTACK
neptune,1,1.0,1,-0.08203342084366838,0,1,ATTACK
apache2,1,0.5,1,0.0014849653964950082,0,1,ATTACK
ipsweep,1,1.0,1,-0.01727568290133319,0,1,ATTACK
mscan,1,0.78,1,-0.0886284006664686,0,1,ATTACK
neptune,1,1.0,1,-0.07581541520983737,0,1,ATTACK
normal,0,0.0,0,0.178050791250007,0,0,NORMAL
processtable,1,0.245,0,0.018033015425192922,0,0,NORMAL
guess_passwd,1,0.21,0,-0.02105563532874588,0,0,NORMAL
neptune,1,1.0,1,-0.10544840543073153,1,1,ATTACK
pod,1,0.695,1,-0.05381231604022463,0,1,ATTACK
mailbomb,1,0.045,0,0.1272667006346671,0,0,NORMAL
normal,0,0.0,0,0.17583571661006597,0,0,NORMAL
neptune,1,1.0,1,-0.0842175065374745,0,1,ATTACK
processtable,1,0.415,1,0.016342668663148263,0,1,ATTACK
neptune,1,1.0,1,-0.06622751903915303,0,1,ATTACK
neptune,1,1.0,1,-0.08763272265589706,0,1,ATTACK
neptune,1,1.0,1,-0.10459625676872275,1,1,ATTACK
neptune,1,1.0,1,-0.08104976337103098,0,1,ATTACK
neptune,1,1.0,1,-0.09371499369618685,0,1,ATTACK
satan,1,1.0,1,-0.13541440048390463,1,1,ATTACK
neptune,1,1.0,1,-0.07544689496698176,0,1,ATTACK
warezmaster,1,0.295,0,0.05805126228797203,0,0,NORMAL
neptune,1,1.0,1,-0.08651775382555438,0,1,ATTACK
neptune,1,1.0,1,-0.1046273058427003,1,1,ATTACK
warezmaster,1,0.38,0,0.057355342657311514,0,0,NORMAL
normal,0,0.0,0,0.17457562207511024,0,0,NORMAL
neptune,1,1.0,1,-0.10509048506698426,1,1,ATTACK
processtable,1,0.125,0,0.03765692312684532,0,0,NORMAL
normal,0,0.0,0,0.14281213703406148,0,0,NORMAL
neptune,1,1.0,1,-0.08022765290264866,0,1,ATTACK
neptune,1,1.0,1,-0.08500858879208839,0,1,ATTACK
apache2,1,0.5,1,0.0014849653964950082,0,1,ATTACK
normal,0,0.0,0,0.1747976101743159,0,0,NORMAL
satan,1,1.0,1,-0.1336418712998222,1,1,ATTACK
saint,1,1.0,1,-0.13434052723045564,1,1,ATTACK
guess_passwd,1,0.08,0,0.1054553148851407,0,0,NORMAL
normal,0,0.0,0,0.10146032423414958,0,0,NORMAL
smurf,1,0.905,1,0.017553681423957523,0,1,ATTACK
normal,0,0.0,0,0.11544661096451364,0,0,NORMAL
normal,0,0.0,0,0.11263630498670507,0,0,NORMAL
normal,0,0.0,0,0.17974818588255576,0,0,NORMAL
normal,0,0.0,0,0.12303307902328048,0,0,NORMAL
guess_passwd,1,0.045,0,0.14940608922053594,0,0,NORMAL
neptune,1,1.0,1,-0.07740991957701848,0,1,ATTACK
neptune,1,1.0,1,-0.06336487094286891,0,1,ATTACK
normal,0,0.0,0,0.11295684994341976,0,0,NORMAL
neptune,1,1.0,1,-0.07558595499364518,0,1,ATTACK
normal,0,0.0,0,0.17733345310594772,0,0,NORMAL
processtable,1,0.125,0,0.03765692312684532,0,0,NORMAL
neptune,1,1.0,1,-0.07296459536373423,0,1,ATTACK
normal,0,0.0,0,0.11985292331867248,0,0,NORMAL
normal,0,0.0,0,0.1723484075947238,0,0,NORMAL
normal,0,0.005,0,0.09281388478306946,0,0,NORMAL
normal,0,0.39,0,0.07520081475641238,0,0,NORMAL
guess_passwd,1,0.15,0,0.0826887537605896,0,0,NORMAL
neptune,1,1.0,1,-0.06104567995447041,0,1,ATTACK
snmpgetattack,1,0.0,0,0.08567960551028836,0,0,NORMAL
mscan,1,0.26,0,-0.028558907669367417,0,0,NORMAL
normal,0,0.0,0,0.1688674642215025,0,0,NORMAL
apache2,1,0.435,1,-0.08871176354280308,0,1,ATTACK
normal,0,0.0,0,0.1770721116317348,0,0,NORMAL
normal,0,0.0,0,0.1736445531463487,0,0,NORMAL
satan,1,1.0,1,-0.13541440048390463,1,1,ATTACK
neptune,1,1.0,1,-0.06237775299662218,0,1,ATTACK
processtable,1,0.3,0,-0.06010903539472867,0,0,NORMAL
normal,0,0.0,0,0.18085223132616718,0,0,NORMAL
normal,0,0.0,0,0.17749100382060068,0,0,NORMAL
apache2,1,0.53,1,-0.026978128183474226,0,1,ATTACK
warezmaster,1,0.235,0,0.10773337188353077,0,0,NORMAL
normal,0,0.0,0,0.16880256773082536,0,0,NORMAL
normal,0,0.0,0,0.16924296437435676,0,0,NORMAL
normal,0,0.03,0,0.0782880566413976,0,0,NORMAL
smurf,1,1.0,1,0.05386016699194085,0,1,ATTACK
normal,0,0.0,0,0.1765079670821883,0,0,NORMAL
normal,0,0.025,0,0.04561100307036137,0,0,NORMAL
normal,0,0.0,0,0.17446620116048278,0,0,NORMAL
snmpguess,1,0.13,0,0.09007427740794693,0,0,NORMAL
normal,0,0.0,0,0.17296860266413971,0,0,NORMAL
normal,0,0.0,0,0.17716157811243943,0,0,NORMAL
normal,0,0.205,0,0.02610816106916858,0,0,NORMAL
neptune,1,1.0,1,-0.07948280116996664,0,1,ATTACK
normal,0,0.0,0,0.18025822204605985,0,0,NORMAL
back,1,0.845,1,0.10790983667595605,0,1,ATTACK
normal,0,0.0,0,0.16096219780401821,0,0,NORMAL
neptune,1,1.0,1,-0.10560478623099057,1,1,ATTACK
normal,0,0.0,0,0.10526870644323971,0,0,NORMAL
normal,0,0.0,0,0.17060434407856412,0,0,NORMAL
normal,0,0.185,0,0.024374145710198858,0,0,NORMAL
mscan,1,0.285,0,-0.04627029709113906,0,0,NORMAL
warezmaster,1,0.005,0,0.09695602924520114,0,0,NORMAL
normal,0,0.005,0,0.12442541932192358,0,0,NORMAL
neptune,1,1.0,1,-0.08714556197810619,0,1,ATTACK
pod,1,1.0,1,0.0011470343349788692,0,1,ATTACK
apache2,1,0.12,0,-0.058484811216406474,0,0,NORMAL
normal,0,0.21,0,0.022210599007685017,0,0,NORMAL
apache2,1,0.505,1,-0.00013790246336042866,0,1,ATTACK
mscan,1,0.195,0,0.02015603808033517,0,0,NORMAL
normal,0,0.0,0,0.12678906126183837,0,0,NORMAL
normal,0,0.0,0,0.1219130433157497,0,0,NORMAL
apache2,1,0.26,0,-0.07161732262581844,0,0,NORMAL
neptune,1,1.0,1,-0.07275644593052466,0,1,ATTACK
neptune,1,1.0,1,-0.1011752130046677,1,1,ATTACK
normal,0,0.03,0,0.14380761152471433,0,0,NORMAL
warezmaster,1,0.29,0,0.019752325440788088,0,0,NORMAL
neptune,1,1.0,1,-0.1041102428589924,1,1,ATTACK
neptune,1,1.0,1,-0.09040392388528207,0,1,ATTACK
normal,0,0.0,0,0.17486890061487287,0,0,NORMAL
normal,0,0.0,0,0.12694312198989988,0,0,NORMAL
normal,0,0.005,0,0.12384736612322944,0,0,NORMAL
guess_passwd,1,0.055,0,0.14366532072594107,0,0,NORMAL
normal,0,0.0,0,0.11270186012052574,0,0,NORMAL
neptune,1,1.0,1,-0.10387396230591528,1,1,ATTACK
satan,1,1.0,1,-0.14197831644581693,1,1,ATTACK
mscan,1,0.715,1,-0.10379214770153977,1,1,ATTACK
normal,0,0.0,0,0.179824017241985,0,0,NORMAL
warezmaster,1,0.3,0,0.0200771445487673,0,0,NORMAL
normal,0,0.0,0,0.1788855662285989,0,0,NORMAL
normal,0,0.0,0,0.178770069422726,0,0,NORMAL
warezmaster,1,0.015,0,0.11624250102977063,0,0,NORMAL
normal,0,0.0,0,0.16695981983981228,0,0,NORMAL
neptune,1,1.0,1,-0.07045043498433223,0,1,ATTACK
neptune,1,1.0,1,-0.07693506069488398,0,1,ATTACK
neptune,1,1.0,1,-0.11117185976197352,1,1,ATTACK
guess_passwd,1,0.12,0,0.08518020318744746,0,0,NORMAL
normal,0,0.0,0,0.08790970278693988,0,0,NORMAL
normal,0,0.0,0,0.17762579112492094,0,0,NORMAL
ipsweep,1,1.0,1,0.01669248716458055,0,1,ATTACK
neptune,1,1.0,1,-0.062176848283527764,0,1,ATTACK
normal,0,0.0,0,0.18085223132616718,0,0,NORMAL
neptune,1,1.0,1,-0.10653167597343649,1,1,ATTACK
portsweep,1,1.0,1,-0.06607980255825363,0,1,ATTACK
neptune,1,1.0,1,-0.07314024166749855,0,1,ATTACK
normal,0,0.205,0,0.02381373792528907,0,0,NORMAL
mscan,1,0.14,0,-0.06440435714470338,0,0,NORMAL
normal,0,0.0,0,0.17612725476248986,0,0,NORMAL
neptune,1,1.0,1,-0.07191683179483987,0,1,ATTACK
neptune,1,1.0,1,-0.08011763358779045,0,1,ATTACK
normal,0,0.145,0,0.08559614953837469,0,0,NORMAL
warezmaster,1,0.08,0,0.06804081982685184,0,0,NORMAL
warezmaster,1,0.13,0,0.09123041374668517,0,0,NORMAL
mscan,1,0.96125,1,-0.06501904929556968,0,1,ATTACK
neptune,1,1.0,1,-0.10546050070711088,1,1,ATTACK
normal,0,0.0,0,0.16649247555986596,0,0,NORMAL
warezmaster,1,0.265,0,0.006779412274559804,0,0,NORMAL
neptune,1,1.0,1,-0.07963909047875684,0,1,ATTACK
normal,0,0.0,0,0.1583099532534485,0,0,NORMAL
processtable,1,0.3,0,-0.06647928882401255,0,0,NORMAL
normal,0,0.0,0,0.1704823897074476,0,0,NORMAL
httptunnel,1,0.5533333333333333,1,-0.05539147438405512,0,1,ATTACK
mscan,1,0.32,0,-0.01928344387799774,0,0,NORMAL
normal,0,0.0,0,0.16273073623980017,0,0,NORMAL
normal,0,0.0,0,0.1763762674379083,0,0,NORMAL
normal,0,0.185,0,0.016442432324724143,0,0,NORMAL
mscan,1,0.66,1,-0.09408592316330111,0,1,ATTACK
normal,0,0.0,0,0.16609565608811888,0,0,NORMAL
neptune,1,1.0,1,-0.06384818042754281,0,1,ATTACK
normal,0,0.0,0,0.149588602010925,0,0,NORMAL
neptune,1,1.0,1,-0.08057637158072739,0,1,ATTACK
back,1,0.555,1,0.06379720954825624,0,1,ATTACK
normal,0,0.005,0,0.0859021588883564,0,0,NORMAL
guess_passwd,1,0.025,0,0.12287476744014503,0,0,NORMAL
normal,0,0.21,0,0.03916715566016443,0,0,NORMAL
normal,0,0.0,0,0.1781945387653311,0,0,NORMAL
satan,1,1.0,1,-0.1364900916942946,1,1,ATTACK
warezmaster,1,0.305,0,0.05677680564297288,0,0,NORMAL
neptune,1,1.0,1,-0.08187174315657109,0,1,ATTACK
neptune,1,1.0,1,-0.08718755277673051,0,1,ATTACK
satan,1,1.0,1,-0.14024325037482777,1,1,ATTACK
normal,0,0.0,0,0.17109241570507627,0,0,NORMAL
normal,0,0.205,0,0.01676949010367751,0,0,NORMAL
normal,0,0.0,0,0.17899539475113213,0,0,NORMAL
normal,0,0.0,0,0.11632887375151008,0,0,NORMAL
neptune,1,1.0,1,-0.07796864367370271,0,1,ATTACK
guess_passwd,1,0.03666666666666667,0,0.13905649258831,0,0,NORMAL
normal,0,0.0,0,0.17302672204308422,0,0,NORMAL
neptune,1,1.0,1,-0.07335709618956276,0,1,ATTACK
normal,0,0.0,0,0.1801491210630734,0,0,NORMAL
normal,0,0.0,0,0.16691512540484849,0,0,NORMAL
normal,0,0.0,0,0.11737209687132394,0,0,NORMAL
normal,0,0.0,0,0.17719814622128494,0,0,NORMAL
neptune,1,1.0,1,-0.07249282761061038,0,1,ATTACK
normal,0,0.0,0,0.1768166549134902,0,0,NORMAL
warezmaster,1,0.625,1,0.0637609025892657,0,1,ATTACK
smurf,1,1.0,1,0.044169249130193045,0,1,ATTACK
guess_passwd,1,0.09,0,0.11233859195740753,0,0,NORMAL
mscan,1,0.425,1,-0.08049909512911435,0,1,ATTACK
neptune,1,1.0,1,-0.08288003186987303,0,1,ATTACK
neptune,1,1.0,1,-0.06644670239502959,0,1,ATTACK
normal,0,0.255,0,-0.09235742257171586,0,0,NORMAL
neptune,1,1.0,1,-0.07889499429734681,0,1,ATTACK
normal,0,0.02,0,0.04238456638381777,0,0,NORMAL
neptune,1,1.0,1,-0.0575670938564099,0,1,ATTACK
normal,0,0.0,0,0.17937799721631842,0,0,NORMAL
normal,0,0.0,0,0.180537560439327,0,0,NORMAL
normal,0,0.21,0,0.023076767705785206,0,0,NORMAL
neptune,1,1.0,1,-0.08207968621928075,0,1,ATTACK
portsweep,1,0.97,1,-0.12401061402519853,1,1,ATTACK
mscan,1,0.625,1,-0.10156644268268233,1,1,ATTACK
apache2,1,0.29,0,-0.0625702956038392,0,0,NORMAL
normal,0,0.0,0,0.17742892411456113,0,0,NORMAL
normal,0,0.0,0,0.10487415386169285,0,0,NORMAL
back,1,0.765,1,0.1210605756136669,0,1,ATTACK
satan,1,0.995,1,-0.05925900188537325,0,1,ATTACK
mscan,1,0.325,0,-0.015409658970043205,0,0,NORMAL
satan,1,0.99,1,-0.10700288196164132,1,1,ATTACK
processtable,1,0.275,0,0.004705711083208053,0,0,NORMAL
normal,0,0.0,0,0.12038938157444962,0,0,NORMAL
neptune,1,1.0,1,-0.09040392388528207,0,1,ATTACK
neptune,1,1.0,1,-0.07469233292958433,0,1,ATTACK
guess_passwd,1,0.07,0,0.07913979439651742,0,0,NORMAL
normal,0,0.0,0,0.17968244094378572,0,0,NORMAL
normal,0,0.0,0,0.16027131064800365,0,0,NORMAL
guess_passwd,1,0.025,0,0.15274311995872403,0,0,NORMAL
normal,0,0.0,0,0.18030725729664898,0,0,NORMAL
normal,0,0.0,0,0.10460146593956832,0,0,NORMAL
normal,0,0.195,0,0.024374145710198858,0,0,NORMAL
neptune,1,1.0,1,-0.06062687787710286,0,1,ATTACK
normal,0,0.0,0,0.14314548128957155,0,0,NORMAL
normal,0,0.0,0,0.1787120421611016,0,0,NORMAL
neptune,1,1.0,1,-0.0737661220161856,0,1,ATTACK
normal,0,0.0,0,0.17788879722203788,0,0,NORMAL
normal,0,0.0,0,0.18041485437177746,0,0,NORMAL
normal,0,0.0,0,0.14140181254918116,0,0,NORMAL
normal,0,0.165,0,0.013685683564319595,0,0,NORMAL
satan,1,1.0,1,-0.14432844996913874,1,1,ATTACK
normal,0,0.0,0,0.17214168908565824,0,0,NORMAL
snmpguess,1,0.135,0,0.09007427740794693,0,0,NORMAL
normal,0,0.0,0,0.11795051523729455,0,0,NORMAL
neptune,1,1.0,1,-0.08207968621928075,0,1,ATTACK
back,1,0.96,1,0.12367979813163155,0,1,ATTACK
normal,0,0.0,0,0.08994034078333651,0,0,NORMAL
normal,0,0.0,0,0.1794873384171916,0,0,NORMAL
neptune,1,1.0,1,-0.07543164166689764,0,1,ATTACK
guess_passwd,1,0.13,0,0.10837312134535787,0,0,NORMAL
guess_passwd,1,0.04666666666666666,0,0.137828307067067,0,0,NORMAL
neptune,1,1.0,1,-0.0724105983769664,0,1,ATTACK
normal,0,0.29,0,0.153803397319848,0,0,NORMAL
normal,0,0.0,0,0.17854925876572403,0,0,NORMAL
processtable,1,0.455,1,0.006478210128820994,0,1,ATTACK
neptune,1,1.0,1,-0.10248268955347062,1,1,ATTACK
processtable,1,0.22,0,-0.03979629059366674,0,0,NORMAL
normal,0,0.0,0,-0.05409453803947728,0,0,NORMAL
normal,0,0.0,0,0.11726012037726463,0,0,NORMAL
neptune,1,1.0,1,-0.08077262385160144,0,1,ATTACK
normal,0,0.0,0,0.14131427921956907,0,0,NORMAL
normal,0,0.02,0,0.10113738776262221,0,0,NORMAL
normal,0,0.08,0,0.08039085517578504,0,0,NORMAL
processtable,1,0.075,0,0.006069999440935392,0,0,NORMAL
normal,0,0.0,0,0.16638161029893034,0,0,NORMAL
neptune,1,1.0,1,-0.08124636178224098,0,1,ATTACK
saint,1,1.0,1,-0.13348273549185818,1,1,ATTACK
normal,0,0.0,0,0.17884576943765124,0,0,NORMAL
normal,0,0.0,0,0.1678229384968336,0,0,NORMAL
smurf,1,1.0,1,0.060966161346362346,0,1,ATTACK
normal,0,0.0,0,0.17454148958057902,0,0,NORMAL
normal,0,0.0,0,0.1788102192998442,0,0,NORMAL
normal,0,0.165,0,0.014044810819807796,0,0,NORMAL
neptune,1,1.0,1,-0.10468122759002396,1,1,ATTACK
normal,0,0.0,0,0.17446602325772342,0,0,NORMAL
guess_passwd,1,0.01916666666666667,0,0.13807481612317246,0,0,NORMAL
neptune,1,1.0,1,-0.06747416027557196,0,1,ATTACK
normal,0,0.0,0,0.16391285428297148,0,0,NORMAL
neptune,1,1.0,1,-0.06085591413992486,0,1,ATTACK
normal,0,0.0,0,0.1773740764398009,0,0,NORMAL
snmpgetattack,1,0.0,0,0.09015469126537401,0,0,NORMAL
processtable,1,0.16,0,0.024232903508095094,0,0,NORMAL
neptune,1,1.0,1,-0.10278799612543632,1,1,ATTACK
normal,0,0.0,0,0.17994226990656043,0,0,NORMAL
neptune,1,0.735,1,-0.08815641431975574,0,1,ATTACK
normal,0,0.19,0,0.022210599007685017,0,0,NORMAL
saint,1,1.0,1,-0.1419072991822622,1,1,ATTACK
normal,0,0.0,0,0.18069840179675423,0,0,NORMAL
normal,0,0.0,0,0.16401590319755877,0,0,NORMAL
back,1,1.0,1,0.13122546239053884,0,1,ATTACK
neptune,1,1.0,1,-0.0621875366270952,0,1,ATTACK
mailbomb,1,0.015,0,0.1244293466518433,0,0,NORMAL
normal,0,0.0,0,0.15488934219999073,0,0,NORMAL
neptune,1,1.0,1,-0.08643106090942199,0,1,ATTACK
normal,0,0.0,0,0.17874799760360172,0,0,NORMAL
normal,0,0.0,0,0.17823112667673952,0,0,NORMAL
neptune,1,1.0,1,-0.07112682539127513,0,1,ATTACK
normal,0,0.015,0,0.1381758700569598,0,0,NORMAL
normal,0,0.295,0,0.10344045017479858,0,0,NORMAL
mscan,1,0.46,1,-0.09000569230157907,0,1,ATTACK
normal,0,0.955,1,-0.05460239433633762,0,1,ATTACK
neptune,1,1.0,1,-0.07885526916853458,0,1,ATTACK
multihop,1,0.237,0,0.07814898852335694,0,0,NORMAL
neptune,1,1.0,1,-0.07397632840165569,0,1,ATTACK
normal,0,0.0,0,0.18068428927496877,0,0,NORMAL
mailbomb,1,0.045,0,0.12821330166125366,0,0,NORMAL
normal,0,1.0,1,0.06623013096301872,0,1,ATTACK
mscan,1,0.7725,1,-0.10554472724729813,1,1,ATTACK
normal,0,0.0,0,0.14868990363361956,0,0,NORMAL
normal,0,0.0,0,0.181082440841079,0,0,NORMAL
satan,1,1.0,1,-0.15354327148280555,1,1,ATTACK
normal,0,0.33,0,0.0256958108464847,0,0,NORMAL
guess_passwd,1,0.07,0,0.15132338473539586,0,0,NORMAL
normal,0,0.0,0,0.18101105593562578,0,0,NORMAL
normal,0,0.0,0,0.1808852472008025,0,0,NORMAL
normal,0,0.0,0,0.1713743964319288,0,0,NORMAL
normal,0,0.0,0,0.176211971821974,0,0,NORMAL
smurf,1,1.0,1,0.04612934028245591,0,1,ATTACK
normal,0,0.0,0,0.17068560613271855,0,0,NORMAL
